Type,Timestamp,Date,Time,Morn_Aft,Day_of_Week,Day,Temperature[degC],Humidity[percent],PM1.0[ug/m^3],PM2.5[ug/m^3],PM10.0[ug/m^3],O3[ppb],O3_V,NO2[ppb],NO2[V],Pressure[Pa],Latitude[deg],Longitude[deg],Altitude[m],,Ontarian Pollutants,Ontarian Standards,AAQI guide,AQ calculated(need to add formula after discussion),Location,Site,AQ_Map,Description,,,,,,,,,,,,,
Morning Average,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,45.479651,-75.516367,,,,,,#DIV/0!,Place D'Orléans - Play Care Center,Site A,#DIV/0!,,,,,,,,,,,,,,
Afternoon Average,,,,,,,31,46.03,8.23,11.13,12.1,158.3,32424.53,117.36,32495.67,100836.7,45.479651,-75.516367,,,,,,7,Place D'Orléans - Play Care Center,Site A,High Risk,,,,,,,,,,,,,,
Weekday Average,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,45.479651,-75.516367,,,,,,#DIV/0!,Place D'Orléans - Play Care Center,Site A,#DIV/0!,,,,,,,,,,,,,,
Weekend Average,,,,,,,31,46.03,8.23,11.13,12.1,158.3,32424.53,117.36,32495.67,100836.7,45.479651,-75.516367,,,,,,7,Place D'Orléans - Play Care Center,Site A,High Risk,,,,,,,,,,,,,,
Total Average,,,,,,,31,46.03,8.23,11.13,12.1,158.3,32424.53,117.36,32495.67,100836.7,45.479651,-75.516367,,,,,,7,Place D'Orléans - Play Care Center,Site A,High Risk,,,,,,,,,,,,,,
Good Site,08/23/2020 16:34:25,23-Aug-20,16:34,Afternoon,7,Weekend,30.77,52.29333333,8.266666667,11,11.46666667,47.92666667,32500.46667,63.26,32517.3,100850.2,45.475311,-75.522397,,,,,,1,St Pierre/Rocque,Site B,Low Risk,,,,,,,,,,,,,,
,,,,Morning,6,Weekend,,,,,,,,,,,45.475311,-75.522397,,,,,,,St Pierre/Rocque,Site B,Low Risk,,,,,,,,,,,,,,
,,,,Morning,6,Weekend,,,,,,,,,,,45.475311,-75.522397,,,,,,,St Pierre/Rocque,Site B,Low Risk,,,,,,,,,,,,,,
,,,,Morning,6,Weekend,,,,,,,,,,,45.475311,-75.522397,,,,,,,St Pierre/Rocque,Site B,Low Risk,,,,,,,,,,,,,,
Morning Average,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,45.475311,-75.522397,,,,,,#DIV/0!,St Pierre/Rocque,Site B,#DIV/0!,,,,,,,,,,,,,,
Afternoon Average,,,,,,,30.77,52.29333333,8.266666667,11,11.46666667,47.92666667,32500.46667,63.26,32517.3,100850.2,45.475311,-75.522397,,,,,,1,St Pierre/Rocque,Site B,Low Risk,,,,,,,,,,,,,,
Weekday Average,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,45.475311,-75.522397,,,,,,#DIV/0!,St Pierre/Rocque,Site B,#DIV/0!,,,,,,,,,,,,,,
